id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,CoreCourses_Summer,Electivesminor_Sem1,Electivesminor_Sem2
620131001,Robinson,Kinnach,Robinson.Kinnach@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"COMP3802, ELET2430","COMP3410, PHYS2296, MATH3404"
620131002,Aindrea,Adao,Aindrea.Adao@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","MATH2421, PHYS2300","ELET2210, ELET2410, MATH2403, GEOG2232"
620131003,Vanda,Venour,Vanda.Venour@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"COMP3801, BIOC3013","PHYS3565, ELET2410, PHYS3341"
620131004,Leland,Jerg,Leland.Jerg@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"MATH3405, ELET3405",CHEM2311
620131005,Damian,Stansbury,Damian.Stansbury@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"COMP3801, COMP3802, CHEM2211","PHYS3565, BIOL2312"
620131006,Maribel,Wentworth,Maribel.Wentworth@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,MATH3401,"CHEM3011, BIOC3014, COMP2802, GEOL2201"
620131007,Baxter,Navan,Baxter.Navan@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","BIOC1020, GEOG2231, CHEM1901, GEOG1131","MATH2403, MICR1010, GEOL1103"
620131008,Bobbie,Youthed,Bobbie.Youthed@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"GEOG1131, GEOL1101","PHYS1422, MATH1151, BIOC1021"
620131009,Levey,Lawranson,Levey.Lawranson@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,CHEM2010,"MATH3402, PHYS3565"
620131010,Reece,Simoens,Reece.Simoens@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"GEOG2131, MATH2401","MATH2403, GEOL1104, GEOG1232"
620131011,Dannye,Stoffersen,Dannye.Stoffersen@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,MATH2404,"COMP3410, GEOG2332, COMP2802"
620131012,Joscelin,Carpe,Joscelin.Carpe@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1412, MICR1010, BIOC1021","ELET1400, GEOL1103"
620131013,Homere,Collingwood,Homere.Collingwood@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",MICR1010,"ELET1405, ELET1400"
620131014,Ingar,Duffitt,Ingar.Duffitt@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,PHYS2351,"COMP3410, GEOG2332, GEOG3333"
620131015,Robinet,Sweed,Robinet.Sweed@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","CHEM2010, GEOG2131, PHYS2351",GEOG2332
620131016,Moishe,Burdis,Moishe.Burdis@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"CHEM2402, ELET2430, ELET2430","BIOC1021, ELET2420, GEOG2232"
620131017,Kailey,Siddele,Kailey.Siddele@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,"MICR1010, CHEM2402, CHEM2210, MATH2401","GEOG1232, PHYS1422, GEOL2201, MATH1151"
620131018,Farrel,Dunbar,Farrel.Dunbar@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,MATH1141,"GEOL1103, ELET1405, CHEM1902"
620131019,Zarah,Ajam,Zarah.Ajam@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,PHYS2300,GEOG1132
620131020,Elka,Bitten,Elka.Bitten@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","GEOG2231, MICR1011, GEOG2233","ELET1400, GEOG2232, BIOL2312, CHEM2110"
620131021,Johannah,Gaskarth,Johannah.Gaskarth@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"COMP3652, MATH3155",MATH3424
620131022,Alessandro,Congdon,Alessandro.Congdon@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"ELET2430, CHEM2402, COMP3802","PHYS3565, CHEM3011"
620131023,Cece,Mapowder,Cece.Mapowder@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"MICR1011, GEOL1101",BIOC1020
620131024,Alfie,Commusso,Alfie.Commusso@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,PHYS2386,"ELET2420, ELET2415"
620131025,Wallache,Athow,Wallache.Athow@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"MATH1142, GEOG1231, GEOG2331, GEOL2202","ELET2210, PHYS2200, CHEM1902, MATH2403"
620131026,Rich,Shilstone,Rich.Shilstone@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"CHEM2211, COMP3802, ELET2430, PHYS2351",MATH2411
620131027,Rebeca,Josefsson,Rebeca.Josefsson@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"COMP3912, MATH2404, PHYS2300","BIOC3014, GEOL2201"
620131028,Norbert,Cawdery,Norbert.Cawdery@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"COMP3802, BIOC3013, PHYS2351","MATH3424, GEOG2332, COMP3162"
620131029,Jarrid,Pote,Jarrid.Pote@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MICR1010, PHYS1412",BIOC1020
620131030,Almira,Morphet,Almira.Morphet@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","PHYS1411, MICR1011, CHEM1901","MICR2211, ELET2420, MATH1152"
620131031,Daron,Mandel,Daron.Mandel@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","BIOC1021, PHYS2386",GEOG1232
620131032,Alfreda,Bourdel,Alfreda.Bourdel@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"GEOG2331, ELET2430, BIOC2014","PHYS2200, COMP3702, PHYS2561"
620131033,Vania,Siddele,Vania.Siddele@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"CHEM2211, GEOG2331","ELET2420, PHYS2561, GEOL2203"
620131034,Domenic,Sinclar,Domenic.Sinclar@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",COMP3191,"GEOL2201, PHYS2561, MATH3424"
620131035,Zebedee,Whitaker,Zebedee.Whitaker@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"CHEM2010, ELET2430, MATH2401, GEOL3002",COMP3410
620131036,Dael,Siney,Dael.Siney@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",PHYS2351,"COMP2802, CHEM2111"
620131037,Brockie,Rusk,Brockie.Rusk@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"PHYS1412, BIOC2014, GEOG2131, MATH1142","ELET2410, ELET1400, GEOL1104"
620131038,Zachary,Heckner,Zachary.Heckner@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",MATH3155,"PHYS2296, CHEM2111"
620131039,Pasquale,Feavers,Pasquale.Feavers@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",ELET2405,"MICR2211, BIOC3014, GEOL2201"
620131040,Ardyth,Lowmass,Ardyth.Lowmass@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"PHYS1412, MICR1011, BIOC1020","GEOG1132, GEOL1104"
620131041,Henrie,Scapelhorn,Henrie.Scapelhorn@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"PHYS1412, CHEM1901","PHYS1421, MICR1010, ELET1405"
620131042,Westley,Surgen,Westley.Surgen@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"COMP3802, MATH2421, GEOG2331","CHEM3010, COMP3410, COMP3162"
620131043,Florry,Klaffs,Florry.Klaffs@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140",GEOL1101,"PHYS1422, CHEM2110, ELET1400"
620131044,Austine,Brookes,Austine.Brookes@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,ELET2405,"COMP3702, BIOC3011, CHEM2111, PHYS3565"
620131045,Quintilla,Kluger,Quintilla.Kluger@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"CHEM1901, MICR1010","ELET2415, ELET2420, ELET1400"
620131046,Royal,Vinten,Royal.Vinten@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,GEOL1101,"GEOG2131, PHYS2296, ELET1400"
620131047,Morgana,Leghorn,Morgana.Leghorn@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,"COMP3801, ELET3430, GEOG2231","PHYS3351, GEOG2131, CHEM3011"
620131048,Aluino,Chrisp,Aluino.Chrisp@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"BIOC1020, MICR1010",GEOG1132
620131049,Raddy,Fendlen,Raddy.Fendlen@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"GEOG1131, BIOC1021","MATH1151, MATH1152"
620131050,Eddi,Criple,Eddi.Criple@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"MATH3155, GEOG3131",CHEM3010
620131051,Babbette,Grammer,Babbette.Grammer@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"ELET3430, ELET3211","GEOG2332, ELET2420"
620131052,Hayley,Burgott,Hayley.Burgott@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,"MICR1010, PHYS2300, MATH1142, CHEM1901",PHYS2561
620131053,Harlene,Morgan,Harlene.Morgan@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"BIOC2014, MICR1011","CHEM1902, PHYS1421, GEOL1103, CHEM2110"
620131054,Vonny,Goacher,Vonny.Goacher@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","COMP3652, CHEM2402","COMP3192, PHYS3351"
620131055,Randy,Clipson,Randy.Clipson@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"ELET3430, CHEM3110, ELET2430, MATH3405","COMP3702, BIOL2312, BIOC3011, COMP2802"
620131056,Remy,Suero,Remy.Suero@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"GEOG3131, PHYS2300",PHYS3300
620131057,Aylmar,Cawsey,Aylmar.Cawsey@mymona.uwi.edu,Male,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,CHEM2310,"PHYS2561, GEOL2201, MATH2411"
620131058,Eveline,Vandenhoff,Eveline.Vandenhoff@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,ELET3430,"GEOG3132, GEOG2232, MATH3404"
620131059,Lucien,Sigsworth,Lucien.Sigsworth@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"ELET2430, GEOL2202, ELET3405","GEOG2131, CHEM2311, PHYS3300, CHEM3010"
620131060,Gavan,Kelloch,Gavan.Kelloch@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211",,"CHEM2011, GEOG2231","BIOC1020, MATH2411"
620131061,Clarance,Jeger,Clarance.Jeger@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,"ELET2405, GEOG2331, CHEM2211","PHYS2200, MATH3404, PHYS3565"
620131062,Diane-marie,Paddemore,Diane-marie.Paddemore@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","BIOC2014, CHEM2310, ELET2430","PHYS2561, BIOC1021"
620131063,Yelena,Marzelo,Yelena.Marzelo@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,"CHEM1901, PHYS1411, GEOL1102","BIOC1020, ELET1400, GEOG1232"
620131064,Tallou,Kincaid,Tallou.Kincaid@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,"ELET2430, CHEM2310, COMP3912, CHEM2402","BIOC3014, PHYS2296, CHEM3011"
620131065,Annecorinne,Havenhand,Annecorinne.Havenhand@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340",,"GEOG2231, BIOC2014","ELET2420, MATH1152"
620131066,Griffith,Sabattier,Griffith.Sabattier@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","PHYS1411, GEOG1231","MATH1151, MICR1010, PHYS1422"
620131067,Sophronia,Tunstall,Sophronia.Tunstall@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"GEOL1102, MATH1141",GEOG1232
620131068,Lance,Renshall,Lance.Renshall@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",MICR1011,"GEOL1104, MICR1011, ELET1400"
620131069,Kira,Gerish,Kira.Gerish@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"COMP3911, GEOG2131, GEOG2233",COMP3192
620131070,Amalea,Ellyatt,Amalea.Ellyatt@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOL1102, BIOC1021, MATH1142",CHEM1902
620131071,Selig,Boarer,Selig.Boarer@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","BIOC1020, GEOG1231","ELET1400, GEOL1103"
620131072,Sharity,Lownes,Sharity.Lownes@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",CHEM3110,"CHEM2311, MATH2411"
620131073,Missy,Jayes,Missy.Jayes@mymona.uwi.edu,Female,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"CHEM2402, COMP3801, MATH3405, PHYS2351","CHEM3010, PHYS3300"
620131074,Renaud,Wilne,Renaud.Wilne@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","CHEM2310, COMP3801",BIOL2312
620131075,Rebbecca,Bangs,Rebbecca.Bangs@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1411, MATH1141",MICR1010
620131076,Cyrillus,Sherman,Cyrillus.Sherman@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",COMP3901,MATH2401,"COMP3162, MATH3424, MATH2407"
620131077,Ingamar,Cantero,Ingamar.Cantero@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901",,"ELET3405, PHYS2351",GEOG3132
620131078,Bren,Tathacott,Bren.Tathacott@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"COMP3911, COMP3191",MATH3403
620131079,Saundra,Hasley,Saundra.Hasley@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,CHEM2210,"COMP3162, GEOG2131, MATH2411, PHYS2296"
620131080,Maximilien,Mulderrig,Maximilien.Mulderrig@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","GEOL2202, GEOG2231","GEOG2232, CHEM2111"
620131081,Kennedy,Kerin,Kennedy.Kerin@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,"GEOL2202, PHYS2386","GEOL2203, COMP2802, ELET2415, GEOG2232"
620131082,Cello,Baynes,Cello.Baynes@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,MATH3401,"MATH3424, GEOG2131, CHEM3010, ELET2410"
620131083,Mala,Manuelli,Mala.Manuelli@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"ELET2430, CHEM2010, GEOG2331, PHYS2300","GEOL2203, COMP3702"
620131084,Eolanda,Nortcliffe,Eolanda.Nortcliffe@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"CHEM2011, ELET2430","MATH2407, MICR2211, GEOG2232"
620131085,Euell,Deddum,Euell.Deddum@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","BIOC1020, PHYS1412","ELET1405, GEOG1232, PHYS1422"
620131086,Aurthur,Simner,Aurthur.Simner@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",,"MICR1010, GEOL1102","GEOL1104, PHYS1421, BIOC1020"
620131087,Brendan,Santon,Brendan.Santon@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,GEOL1101,"CHEM1902, GEOL1103"
620131088,Brandyn,Larchiere,Brandyn.Larchiere@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140",GEOG1231,"MATH1151, GEOG2131, PHYS1421, PHYS2296"
620131089,Darda,Cowie,Darda.Cowie@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",,BIOC1021,PHYS1422
620131090,Gregorius,Goodwyn,Gregorius.Goodwyn@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140",MATH2401,"MICR1010, MICR1011"
620131091,Doralia,Mottinelli,Doralia.Mottinelli@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","PHYS1411, PHYS1412, MATH1142","GEOG1132, MATH1151, PHYS1421"
620131092,Rouvin,Onge,Rouvin.Onge@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140","BIOC2014, GEOG2131, PHYS2351","PHYS1421, MATH2403"
620131093,Debi,Fitzroy,Debi.Fitzroy@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,CHEM2010,GEOG1232
620131094,Robby,MacGaughie,Robby.MacGaughie@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201","CHEM1901, CHEM2402","GEOG2131, BIOC1020, GEOL1103, GEOG2232"
620131095,Berton,Benjamin,Berton.Benjamin@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",,ELET2430,"MATH3402, GEOG3333"
620131096,Jacky,Crevy,Jacky.Crevy@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",,MATH3155,"GEOG2332, GEOG3333"
620131097,Derron,Mayoral,Derron.Mayoral@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3901,"MATH2421, COMP3911, MATH3405","PHYS3300, GEOG3132, MATH3403, MATH2407"
620131098,Latia,Lobe,Latia.Lobe@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",MICR1010,"PHYS1421, PHYS2561, GEOG2332"
620131099,Gwenora,Andrzejak,Gwenora.Andrzejak@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201",CHEM1901,MATH2403
620131100,Lula,Ambrosini,Lula.Ambrosini@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"BIOC2014, GEOG2331, MATH2401, ELET2405","PHYS2200, MATH1151, PHYS2561, PHYS1421"
620131101,Harmony,Boncore,Harmony.Boncore@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",,"CHEM1901, CHEM2402","MICR1010, ELET1405, CHEM2111"
620131102,Rock,Deering,Rock.Deering@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",PHYS1411,"MICR1011, PHYS1421"
