id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,Electivesminor_Sem1,Electivesminor_Sem2,CoreCourses_Summer
620133001,Matias,Wildash,Matias.Wildash@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","ELET2430, PHYS2300",COMP3192,COMP3901
620133002,Dane,Cofax,Dane.Cofax@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","GEOL2202, ELET2405, GEOG2331","CHEM2311, GEOG2131, ELET2410",
620133003,Dori,Haslock(e),Dori.Haslock(e)@mymona.uwi.edu,Female,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","GEOG2131, PHYS1412, MATH2421, CHEM2010","MATH2407, ELET2420, MICR1010, MATH1151","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620133004,Annadiana,O'Keenan,Annadiana.O'Keenan@mymona.uwi.edu,Female,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","BIOC1021, GEOL1102","CHEM1902, BIOC1020",
620133005,Staci,Dougherty,Staci.Dougherty@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",BIOC1020,"ELET2410, GEOL1104",
620133006,Susannah,Shortland,Susannah.Shortland@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","GEOG1131, MICR1011, MATH1142","PHYS1421, ELET1405","COMP1210,COMP1126,COMP1127,COMP1161"
620133007,Filmore,Strettle,Filmore.Strettle@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",GEOL2202,"ELET2420, MICR2211, BIOC3014",
620133008,Luther,Pudsey,Luther.Pudsey@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","PHYS1411, GEOG1231, GEOL1101","GEOL1104, PHYS1422, BIOC1021","COMP1210,COMP1126,COMP1127,COMP1161"
620133009,Mandie,Sprigin,Mandie.Sprigin@mymona.uwi.edu,Female,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161",BIOC1020,"PHYS1422, GEOG1232",
620133010,Elyse,Denson,Elyse.Denson@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","CHEM2402, PHYS2351","ELET2415, GEOG3132, MATH3403",
620133011,Arin,Oloman,Arin.Oloman@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",MATH3405,"ELET2415, BIOC3011, GEOG2232, MATH3424","SWEN3101,SWEN3145,SWEN3920"
620133012,Angelico,Heinke,Angelico.Heinke@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","BIOC1020, PHYS1412, MATH1142","CHEM1902, GEOG1132","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161"
620133013,Byrann,Stanyan,Byrann.Stanyan@mymona.uwi.edu,Male,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340","GEOG2331, BIOC1021, BIOC1020","BIOL2312, CHEM1902, MATH2403",
620133014,Bellanca,Sellens,Bellanca.Sellens@mymona.uwi.edu,Female,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155","PHYS2386, COMP3191, MATH2404","COMP3410, PHYS3351",
620133015,Armin,Hartless,Armin.Hartless@mymona.uwi.edu,Male,1,SWEN,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","GEOL1101, MICR1011","MICR1011, MICR1010, CHEM1902",
