id,first_name,last_name,email,gender,year_level,major,CoreCourses_Sem1,CoreCourses_Sem2,Electivesminor_Sem1,Electivesminor_Sem2,CoreCourses_Summer
620130001,Mohandis,Paylie,Mohandis.Paylie@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920","BIOC2014, CHEM2210, MATH2404","PHYS3300, COMP2802, MATH3404",
620130002,Lidia,McGown,Lidia.McGown@mymona.uwi.edu,Female,2,COMP,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211,COMP2340","MICR1011, PHYS2351, GEOL2202, CHEM1901","MATH1151, BIOC1020, GEOL1103",
620130003,Bartie,Shayler,Bartie.Shayler@mymona.uwi.edu,Male,2,SWEN,"COMP2140,COMP2201","COMP2171,COMP2190,COMP2211","GEOL2202, GEOG1131, CHEM2310, MATH1141","GEOL2201, GEOG2332, BIOC1021","COMP2171,COMP2190,COMP2211,COMP2340,COMP2140,COMP2201"
620130004,Paxton,Laden,Paxton.Laden@mymona.uwi.edu,Male,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","GEOL3002, BIOC3013, CHEM3110, CHEM2210",COMP3702,COMP3901
620130005,Daron,Johanchon,Daron.Johanchon@mymona.uwi.edu,Male,3,SWEN,"SWEN3101,SWEN3145,SWEN3920","SWEN3101,SWEN3145,SWEN3920",PHYS2351,"MATH2403, PHYS3341",
620130006,Mill,Dibdale,Mill.Dibdale@mymona.uwi.edu,Male,1,COMP,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","BIOC1020, GEOG1231, GEOG1131","ELET1400, GEOL1104, GEOG1232",
620130007,Ferd,Gussie,Ferd.Gussie@mymona.uwi.edu,Male,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161","MICR1010, GEOG1231","GEOG1132, GEOL1103, GEOG1232",
620130008,Jarrid,Sanchiz,Jarrid.Sanchiz@mymona.uwi.edu,Male,3,INFO,"INFO3105,INFO3170,INFO3180","COMP3161,COMP3901,INFO3110,INFO3155",COMP3912,"MATH2403, CHEM3010, ELET2210",COMP3901
620130009,Emilia,Matuskiewicz,Emilia.Matuskiewicz@mymona.uwi.edu,Female,2,INFO,"INFO2110,COMP2140","INFO2100,INFO2180,COMP2190,COMP2340",MATH2421,"ELET2420, GEOG1132","INFO2100,INFO2180,COMP2190,COMP2340,INFO2110,COMP2140"
620130010,Irene,McCombe,Irene.McCombe@mymona.uwi.edu,Female,1,INFO,"COMP1210,COMP1220,COMP1126,COMP1127,COMP1161","COMP1210,COMP1126,COMP1127,COMP1161",PHYS1412,MICR1011,"COMP1210,COMP1126,COMP1127,COMP1161"
620130011,Abigael,Beedle,Abigael.Beedle@mymona.uwi.edu,Female,3,COMP,"COMP3101,COMP3220","COMP3161,COMP3901","MATH2401, PHYS2351","BIOC3014, CHEM2111, PHYS2561, MATH2403",
